schema;table;column_id;column;fk_relation;relationship_entity;r_private_key;r_column_id;domain
Production;1;ProductID;>-;Production.Product;ProductID;1;FK_ProductInventory_Product_ProductID;int
Production;2;LocationID;>-;Production.Location;LocationID;1;FK_ProductInventory_Location_LocationID;smallint
Production;3;Shelf;NULL;NULL;NULL;NULL;NULL;nvarchar
Production;4;Bin;NULL;NULL;NULL;NULL;NULL;tinyint
Production;5;Quantity;NULL;NULL;NULL;NULL;NULL;smallint
Production;6;rowguid;NULL;NULL;NULL;NULL;NULL;uniqueidentifier
Production;7;ModifiedDate;NULL;NULL;NULL;NULL;NULL;datetime
Production;1;ProductID;>-;Production.Product;ProductID;1;FK_ProductListPriceHistory_Product_ProductID;int
Production;2;StartDate;NULL;NULL;NULL;NULL;NULL;datetime
Production;3;EndDate;NULL;NULL;NULL;NULL;NULL;datetime
Production;4;ListPrice;NULL;NULL;NULL;NULL;NULL;money
Production;5;ModifiedDate;NULL;NULL;NULL;NULL;NULL;datetime
Production;1;ProductModelID;NULL;NULL;NULL;NULL;NULL;int
Production;2;Name;NULL;NULL;NULL;NULL;NULL;Name
Production;3;CatalogDescription;NULL;NULL;NULL;NULL;NULL;xml
Production;4;Instructions;NULL;NULL;NULL;NULL;NULL;xml
Production;5;rowguid;NULL;NULL;NULL;NULL;NULL;uniqueidentifier
Production;6;ModifiedDate;NULL;NULL;NULL;NULL;NULL;datetime
Production;1;ProductModelID;>-;Production.ProductModel;ProductModelID;1;FK_ProductModelIllustration_ProductModel_ProductModelID;int
Production;2;IllustrationID;>-;Production.Illustration;IllustrationID;1;FK_ProductModelIllustration_Illustration_IllustrationID;int
Production;3;ModifiedDate;NULL;NULL;NULL;NULL;NULL;datetime
Production;1;ProductModelID;>-;Production.ProductModel;ProductModelID;1;FK_ProductModelProductDescriptionCulture_ProductModel_ProductModelID;int
Production;2;ProductDescriptionID;>-;Production.ProductDescription;ProductDescriptionID;1;FK_ProductModelProductDescriptionCulture_ProductDescription_ProductDescriptionID;int
Production;3;CultureID;>-;Production.Culture;CultureID;1;FK_ProductModelProductDescriptionCulture_Culture_CultureID;nchar
Production;4;ModifiedDate;NULL;NULL;NULL;NULL;NULL;datetime
Production;1;ProductPhotoID;NULL;NULL;NULL;NULL;NULL;int
Production;2;ThumbNailPhoto;NULL;NULL;NULL;NULL;NULL;varbinary
Production;3;ThumbnailPhotoFileName;NULL;NULL;NULL;NULL;NULL;nvarchar
Production;4;LargePhoto;NULL;NULL;NULL;NULL;NULL;varbinary
Production;5;LargePhotoFileName;NULL;NULL;NULL;NULL;NULL;nvarchar
Production;6;ModifiedDate;NULL;NULL;NULL;NULL;NULL;datetime
Production;1;ProductID;>-;Production.Product;ProductID;1;FK_ProductProductPhoto_Product_ProductID;int
Production;2;ProductPhotoID;>-;Production.ProductPhoto;ProductPhotoID;1;FK_ProductProductPhoto_ProductPhoto_ProductPhotoID;int
Production;3;Primary;NULL;NULL;NULL;NULL;NULL;Flag
Production;4;ModifiedDate;NULL;NULL;NULL;NULL;NULL;datetime
Production;1;ProductReviewID;NULL;NULL;NULL;NULL;NULL;int
Production;2;ProductID;>-;Production.Product;ProductID;1;FK_ProductReview_Product_ProductID;int
Production;3;ReviewerName;NULL;NULL;NULL;NULL;NULL;Name
Production;4;ReviewDate;NULL;NULL;NULL;NULL;NULL;datetime
Production;5;EmailAddress;NULL;NULL;NULL;NULL;NULL;nvarchar
Production;6;Rating;NULL;NULL;NULL;NULL;NULL;int
Production;7;Comments;NULL;NULL;NULL;NULL;NULL;nvarchar
Production;8;ModifiedDate;NULL;NULL;NULL;NULL;NULL;datetime
Production;1;ProductSubcategoryID;NULL;NULL;NULL;NULL;NULL;int
Production;2;ProductCategoryID;>-;Production.ProductCategory;ProductCategoryID;1;FK_ProductSubcategory_ProductCategory_ProductCategoryID;int
Production;3;Name;NULL;NULL;NULL;NULL;NULL;Name
Production;4;rowguid;NULL;NULL;NULL;NULL;NULL;uniqueidentifier
Production;5;ModifiedDate;NULL;NULL;NULL;NULL;NULL;datetime
Production;1;ScrapReasonID;NULL;NULL;NULL;NULL;NULL;smallint
Production;2;Name;NULL;NULL;NULL;NULL;NULL;Name
Production;3;ModifiedDate;NULL;NULL;NULL;NULL;NULL;datetime
Production;1;TransactionID;NULL;NULL;NULL;NULL;NULL;int
Production;2;ProductID;>-;Production.Product;ProductID;1;FK_TransactionHistory_Product_ProductID;int
Production;3;ReferenceOrderID;NULL;NULL;NULL;NULL;NULL;int
Production;4;ReferenceOrderLineID;NULL;NULL;NULL;NULL;NULL;int
Production;5;TransactionDate;NULL;NULL;NULL;NULL;NULL;datetime
Production;6;TransactionType;NULL;NULL;NULL;NULL;NULL;nchar
Production;7;Quantity;NULL;NULL;NULL;NULL;NULL;int
Production;8;ActualCost;NULL;NULL;NULL;NULL;NULL;money
Production;9;ModifiedDate;NULL;NULL;NULL;NULL;NULL;datetime
Production;1;TransactionID;NULL;NULL;NULL;NULL;NULL;int
Production;2;ProductID;NULL;NULL;NULL;NULL;NULL;int
Production;3;ReferenceOrderID;NULL;NULL;NULL;NULL;NULL;int
Production;4;ReferenceOrderLineID;NULL;NULL;NULL;NULL;NULL;int
Production;5;TransactionDate;NULL;NULL;NULL;NULL;NULL;datetime
Production;6;TransactionType;NULL;NULL;NULL;NULL;NULL;nchar
Production;7;Quantity;NULL;NULL;NULL;NULL;NULL;int
Production;8;ActualCost;NULL;NULL;NULL;NULL;NULL;money
Production;9;ModifiedDate;NULL;NULL;NULL;NULL;NULL;datetime
Production;1;UnitMeasureCode;NULL;NULL;NULL;NULL;NULL;nchar
Production;2;Name;NULL;NULL;NULL;NULL;NULL;Name
Production;3;ModifiedDate;NULL;NULL;NULL;NULL;NULL;datetime
Production;1;WorkOrderID;NULL;NULL;NULL;NULL;NULL;int
Production;2;ProductID;>-;Production.Product;ProductID;1;FK_WorkOrder_Product_ProductID;int
Production;3;OrderQty;NULL;NULL;NULL;NULL;NULL;int
Production;4;StockedQty;NULL;NULL;NULL;NULL;NULL;int
Production;5;ScrappedQty;NULL;NULL;NULL;NULL;NULL;smallint
Production;6;StartDate;NULL;NULL;NULL;NULL;NULL;datetime
Production;7;EndDate;NULL;NULL;NULL;NULL;NULL;datetime
Production;8;DueDate;NULL;NULL;NULL;NULL;NULL;datetime
Production;9;ScrapReasonID;>-;Production.ScrapReason;ScrapReasonID;1;FK_WorkOrder_ScrapReason_ScrapReasonID;smallint
Production;10;ModifiedDate;NULL;NULL;NULL;NULL;NULL;datetime
Production;1;WorkOrderID;>-;Production.WorkOrder;WorkOrderID;1;FK_WorkOrderRouting_WorkOrder_WorkOrderID;int
Production;2;ProductID;NULL;NULL;NULL;NULL;NULL;int
Production;3;OperationSequence;NULL;NULL;NULL;NULL;NULL;smallint
Production;4;LocationID;>-;Production.Location;LocationID;1;FK_WorkOrderRouting_Location_LocationID;smallint
Production;5;ScheduledStartDate;NULL;NULL;NULL;NULL;NULL;datetime
Production;6;ScheduledEndDate;NULL;NULL;NULL;NULL;NULL;datetime
Production;7;ActualStartDate;NULL;NULL;NULL;NULL;NULL;datetime
Production;8;ActualEndDate;NULL;NULL;NULL;NULL;NULL;datetime
Production;9;ActualResourceHrs;NULL;NULL;NULL;NULL;NULL;decimal
Production;10;PlannedCost;NULL;NULL;NULL;NULL;NULL;money
Production;11;ActualCost;NULL;NULL;NULL;NULL;NULL;money
Production;12;ModifiedDate;NULL;NULL;NULL;NULL;NULL;datetime
Purchasing;1;ProductID;>-;Production.Product;ProductID;1;FK_ProductVendor_Product_ProductID;int
Purchasing;2;BusinessEntityID;>-;Purchasing.Vendor;BusinessEntityID;1;FK_ProductVendor_Vendor_BusinessEntityID;int
Purchasing;3;AverageLeadTime;NULL;NULL;NULL;NULL;NULL;int
Purchasing;4;StandardPrice;NULL;NULL;NULL;NULL;NULL;money
Purchasing;5;LastReceiptCost;NULL;NULL;NULL;NULL;NULL;money
Purchasing;6;LastReceiptDate;NULL;NULL;NULL;NULL;NULL;datetime
Purchasing;7;MinOrderQty;NULL;NULL;NULL;NULL;NULL;int
Purchasing;8;MaxOrderQty;NULL;NULL;NULL;NULL;NULL;int
Purchasing;9;OnOrderQty;NULL;NULL;NULL;NULL;NULL;int
Purchasing;10;UnitMeasureCode;>-;Production.UnitMeasure;UnitMeasureCode;1;FK_ProductVendor_UnitMeasure_UnitMeasureCode;nchar
Purchasing;11;ModifiedDate;NULL;NULL;NULL;NULL;NULL;datetime
Purchasing;1;PurchaseOrderID;>-;Purchasing.PurchaseOrderHeader;PurchaseOrderID;1;FK_PurchaseOrderDetail_PurchaseOrderHeader_PurchaseOrderID;int
Purchasing;2;PurchaseOrderDetailID;NULL;NULL;NULL;NULL;NULL;int
Purchasing;3;DueDate;NULL;NULL;NULL;NULL;NULL;datetime
Purchasing;4;OrderQty;NULL;NULL;NULL;NULL;NULL;smallint
